INSTURCTION TYPE,PC,INSTRUCTION,IMMEDIATE,FUNCT7,RS2,RS1,FUNCT3,RD,OPCODE,BRANCH,MEMREAD,MEMTOREG,MEMWRITE,ALUOP,REGW,ALUOPCODE,ALUSRC,DATA1OUT,DATA2OUT,DATA2IN,C,Z,ALUOUT,ADDR,WRDATAMEM,MEMOUT,WRDATAREG, REG5,REG6, REG7, REG8, REG9, REG18, REG19, REG20, REG21, REG22, REG23, REG24,REG25, REG26, REG27, REG28, REG29, REG30, REG31
ld-type,10010,00000001000100000011111110000011,00000000000000000000000000010001,0000000,00000,00000,011,11111,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
sb-type,10011,00000001010010110000000101100011,00000000000000000000000000000010,0000000,10100,10110,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,10100,00000000100011001000000101100011,00000000000000000000000000000010,0000000,01000,11001,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,10101,00000001110001001000000101100011,00000000000000000000000000000010,0000000,11100,01001,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,10110,00000000011100111000000101100011,00000000000000000000000000000010,0000000,00111,00111,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,10111,00000000010111001000000101100011,00000000000000000000000000000010,0000000,00101,11001,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,11000,00000001111010110000000101100011,00000000000000000000000000000010,0000000,11110,10110,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,11001,00000000011010100000000101100011,00000000000000000000000000000010,0000000,00110,10100,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,11010,00000001110111110000000101100011,00000000000000000000000000000010,0000000,11101,11110,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,11011,00000001100010101000000101100011,00000000000000000000000000000010,0000000,11000,10101,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,11100,00000001001001000000000101100011,00000000000000000000000000000010,0000000,10010,01000,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,11101,00000001010110011000000101100011,00000000000000000000000000000010,0000000,10101,10011,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,11110,00000000010110101000000101100011,00000000000000000000000000000010,0000000,00101,10101,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,11111,00000001010110011000000101100011,00000000000000000000000000000010,0000000,10101,10011,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,100000,00000001001010110000000101100011,00000000000000000000000000000010,0000000,10010,10110,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,100001,00000001011011000000000101100011,00000000000000000000000000000010,0000000,10110,11000,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,100010,00000000011110111000000101100011,00000000000000000000000000000010,0000000,00111,10111,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,100011,00000001100111101000000101100011,00000000000000000000000000000010,0000000,11001,11101,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,100100,00000001010010010000000101100011,00000000000000000000000000000010,0000000,10100,10010,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,100101,00000001010011100000000101100011,00000000000000000000000000000010,0000000,10100,11100,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,100110,00000001010100111000000101100011,00000000000000000000000000000010,0000000,10101,00111,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,100111,00000001111010110000000101100011,00000000000000000000000000000010,0000000,11110,10110,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,101000,00000000010110110000000101100011,00000000000000000000000000000010,0000000,00101,10110,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,101001,00000001111110110000000101100011,00000000000000000000000000000010,0000000,11111,10110,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,101010,00000001110110011000000101100011,00000000000000000000000000000010,0000000,11101,10011,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,101011,00000001101011010000000101100011,00000000000000000000000000000010,0000000,11010,11010,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,101100,00000001011011010000000101100011,00000000000000000000000000000010,0000000,10110,11010,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,101101,00000001101110010000000101100011,00000000000000000000000000000010,0000000,11011,10010,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,101110,00000001010010110000000101100011,00000000000000000000000000000010,0000000,10100,10110,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
sb-type,101111,00000001010100110000000101100011,00000000000000000000000000000010,0000000,10101,00110,000,00000,1100011,1,0,X,0,01,0,0010,0,,,DATA2OUT,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,
ld-type,110000,00000000001000000011001010000011,00000000000000000000000000000010,0000000,00000,00000,011,00101,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,110001,00000000001000000011001100000011,00000000000000000000000000000010,0000000,00000,00000,011,00110,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,110010,00000000001000000011001110000011,00000000000000000000000000000010,0000000,00000,00000,011,00111,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,110011,00000000001000000011010000000011,00000000000000000000000000000010,0000000,00000,00000,011,01000,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,110100,00000000001000000011010010000011,00000000000000000000000000000010,0000000,00000,00000,011,01001,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,110101,00000000001000000011100100000011,00000000000000000000000000000010,0000000,00000,00000,011,10010,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,110110,00000000001000000011100110000011,00000000000000000000000000000010,0000000,00000,00000,011,10011,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,110111,00000000001000000011101000000011,00000000000000000000000000000010,0000000,00000,00000,011,10100,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,111000,00000000001000000011101010000011,00000000000000000000000000000010,0000000,00000,00000,011,10101,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,111001,00000000001000000011101100000011,00000000000000000000000000000010,0000000,00000,00000,011,10110,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,111010,00000000001000000011101110000011,00000000000000000000000000000010,0000000,00000,00000,011,10111,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,111011,00000000001000000011110000000011,00000000000000000000000000000010,0000000,00000,00000,011,11000,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,111100,00000000001000000011110010000011,00000000000000000000000000000010,0000000,00000,00000,011,11001,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,111101,00000000001000000011110100000011,00000000000000000000000000000010,0000000,00000,00000,011,11010,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,111110,00000000001000000011110110000011,00000000000000000000000000000010,0000000,00000,00000,011,11011,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,111111,00000000001000000011111000000011,00000000000000000000000000000010,0000000,00000,00000,011,11100,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,1000000,00000000001000000011111010000011,00000000000000000000000000000010,0000000,00000,00000,011,11101,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,1000001,00000000001000000011111100000011,00000000000000000000000000000010,0000000,00000,00000,011,11110,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,1000010,00000000001000000011111110000011,00000000000000000000000000000010,0000000,00000,00000,011,11111,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
i-type,1000011,00000001100111111000001010010011,00000000000000000000000000011001,0000000,00000,11111,000,00101,0010011,0,0,0,0,11,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,ALUOUT,,,,,,,,,,,,,,,,,,,
i-type,1000100,00000001001010011001111010010011,00000000000000000000000000010010,0000000,00000,10011,001,11101,0010011,0,0,0,0,11,1,0001,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,ALUOUT,,,,,,,,,,,,,,,,,,,
i-type,1000101,00000001001010011100100100010011,00000000000000000000000000010010,0000000,00000,10011,100,10010,0010011,0,0,0,0,11,1,0100,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,ALUOUT,,,,,,,,,,,,,,,,,,,
i-type,1000110,00000001001000111101111000010011,00000000000000000000000000010010,0000000,00000,00111,101,11100,0010011,0,0,0,0,11,1,0101,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,ALUOUT,,,,,,,,,,,,,,,,,,,
i-type,1000111,01000000100110110101110110010011,00000000000000000000010000001001,0100000,00000,10110,101,11011,0010011,0,0,0,0,11,1,0011,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,ALUOUT,,,,,,,,,,,,,,,,,,,
i-type,1001000,00000000010111011110101100010011,00000000000000000000000000000101,0000000,00000,11011,110,10110,0010011,0,0,0,0,11,1,0110,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,ALUOUT,,,,,,,,,,,,,,,,,,,
